央视｜电信,#genre#
CCTV2_电信,http://118.122.2.29:9999/hls/2/index.m3u8
CCTV3_电信,http://182.150.23.74:808/hls/3/index.m3u8
CCTV4_电信,http://182.150.23.74:808/hls/4/index.m3u8
CCTV7_电信,http://182.150.23.74:808/hls/7/index.m3u8
CCTV8_电信,http://182.150.23.74:808/hls/8/index.m3u8
CCTV9_电信,http://182.150.23.74:808/hls/9/index.m3u8
CCTV9_电信,http://118.122.2.29:9999/hls/9/index.m3u8
CCTV12_电信,http://182.150.23.74:808/hls/12/index.m3u8
CCTV15+音乐_电信,http://182.150.23.74:808/hls/15/index.m3u8
卫视｜电信,#genre#
东南卫视_电信,http://118.122.2.29:9999/hls/29/index.m3u8
东南卫视（福建卫视）_电信,http://182.150.23.74:808/hls/24/index.m3u8
东方卫视_电信,http://182.150.23.74:808/hls/19/index.m3u8
吉林卫视_电信,http://182.150.23.74:808/hls/35/index.m3u8
山西卫视_电信,http://118.122.2.29:9999/hls/40/index.m3u8
广东卫视_电信,http://182.150.23.74:808/hls/32/index.m3u8
广西卫视_电信,http://182.150.23.74:808/hls/31/index.m3u8
康巴卫视_电信,http://118.122.2.29:9999/hls/39/index.m3u8
新疆卫视_电信,http://118.122.2.29:9999/hls/46/index.m3u8
江西卫视_电信,http://182.150.23.74:808/hls/30/index.m3u8
湖北卫视_电信,http://182.150.23.74:808/hls/28/index.m3u8
贵州卫视_电信,http://118.122.2.29:9999/hls/32/index.m3u8
陕西卫视_电信,http://182.150.23.74:808/hls/36/index.m3u8
其他｜电信,#genre#
6_电信,http://182.150.23.74:808/hls/41/index.m3u8
上海纪实_电信,http://118.122.2.29:9999/hls/57/index.m3u8
四川文化旅游_电信,http://118.122.2.29:9999/hls/52/index.m3u8
彝语综合_电信,http://118.122.2.29:9999/hls/47/index.m3u8
电竞天堂_电信,http://118.112.148.228:4022/udp/239.93.1.135:5140
财富天下_电信,http://118.112.148.228:4022/udp/239.93.0.116:9136
