央视｜电信,#genre#
CCTV1_电信,http://119.98.183.124:8000/rtp/239.254.96.96:8550
CCTV1_电信,http://59.175.18.180:8888/rtp/239.254.96.96:8550
CCTV1_电信,http://27.18.68.177:9100/rtp/239.254.96.96:8550
CCTV1_电信,http://111.175.30.86:8888/rtp/239.254.96.96:8550
CCTV1_电信,http://59.174.226.149:8880/rtp/239.254.96.96:8550
CCTV1_电信,http://111.175.60.115:4022/rtp/239.254.96.96:8550
CCTV1_电信,http://122.224.232.218:8888/rtp/233.50.201.118:5140
CCTV2_电信,http://111.175.30.86:8888/rtp/239.69.1.102:10250
CCTV2_电信,http://119.98.183.124:8000/rtp/239.69.1.102:10250
CCTV2_电信,http://111.175.60.115:4022/rtp/239.69.1.102:10250
CCTV2_电信,http://27.18.68.177:9100/rtp/239.69.1.102:10250
CCTV2_电信,http://59.175.18.180:8888/rtp/239.69.1.102:10250
CCTV2_电信,http://59.174.226.149:8880/rtp/239.69.1.102:10250
CCTV2_电信,http://122.224.232.218:8888/rtp/233.50.201.119:5140
CCTV3_电信,http://111.175.60.115:4022/rtp/239.69.1.122:10370
CCTV3_电信,http://59.175.18.180:8888/rtp/239.69.1.122:10370
CCTV3_电信,http://119.98.183.124:8000/rtp/239.69.1.122:10370
CCTV3_电信,http://111.175.30.86:8888/rtp/239.69.1.122:10370
CCTV3_电信,http://59.174.226.149:8880/rtp/239.69.1.122:10370
CCTV3_电信,http://27.18.68.177:9100/rtp/239.69.1.122:10370
CCTV3_电信,http://122.224.232.218:8888/rtp/233.50.201.196:5140
CCTV4_电信,http://111.175.60.115:4022/rtp/239.69.1.138:10466
CCTV4_电信,http://111.175.30.86:8888/rtp/239.69.1.138:10466
CCTV4_电信,http://119.98.183.124:8000/rtp/239.69.1.138:10466
CCTV4_电信,http://59.175.18.180:8888/rtp/239.69.1.138:10466
CCTV4_电信,http://27.18.68.177:9100/rtp/239.69.1.138:10466
CCTV4_电信,http://59.174.226.149:8880/rtp/239.69.1.138:10466
CCTV4_电信,http://122.224.232.218:8888/rtp/233.50.201.4:5140
CCTV5+_电信,http://111.175.30.86:8888/rtp/239.69.1.12:9712
CCTV5+_电信,http://27.18.68.177:9100/rtp/239.69.1.12:9712
CCTV5+_电信,http://119.98.183.124:8000/rtp/239.69.1.12:9712
CCTV5+_电信,http://111.175.60.115:4022/rtp/239.69.1.12:9712
CCTV5+_电信,http://59.175.18.180:8888/rtp/239.69.1.12:9712
CCTV5+_电信,http://59.175.18.180:8888/rtp/239.254.96.234:9484
CCTV5+_电信,http://111.175.60.115:4022/rtp/239.254.96.234:9484
CCTV5+_电信,http://119.98.183.124:8000/rtp/239.254.96.234:9484
CCTV5_电信,http://59.175.18.180:8888/rtp/239.69.1.123:10376
CCTV5_电信,http://111.175.30.86:8888/rtp/239.69.1.123:10376
CCTV5_电信,http://111.175.60.115:4022/rtp/239.69.1.123:10376
CCTV5_电信,http://119.98.183.124:8000/rtp/239.69.1.123:10376
CCTV5_电信,http://59.174.226.149:8880/rtp/239.69.1.123:10376
CCTV5_电信,http://27.18.68.177:9100/rtp/239.69.1.123:10376
CCTV5_电信,http://122.224.232.218:8888/rtp/233.50.201.197:5140
CCTV6_电信,http://111.175.30.86:8888/rtp/239.69.1.124:10382
CCTV6_电信,http://111.175.60.115:4022/rtp/239.69.1.124:10382
CCTV6_电信,http://59.175.18.180:8888/rtp/239.69.1.124:10382
CCTV6_电信,http://119.98.183.124:8000/rtp/239.69.1.124:10382
CCTV6_电信,http://27.18.68.177:9100/rtp/239.69.1.124:10382
CCTV6_电信,http://59.174.226.149:8880/rtp/239.69.1.124:10382
CCTV7_电信,http://59.175.18.180:8888/rtp/239.69.1.103:10256
CCTV7_电信,http://119.98.183.124:8000/rtp/239.69.1.103:10256
CCTV7_电信,http://27.18.68.177:9100/rtp/239.69.1.103:10256
CCTV7_电信,http://111.175.30.86:8888/rtp/239.69.1.103:10256
CCTV7_电信,http://59.174.226.149:8880/rtp/239.69.1.103:10256
CCTV7_电信,http://111.175.60.115:4022/rtp/239.69.1.103:10256
CCTV8_电信,http://119.98.183.124:8000/rtp/239.69.1.125:10388
CCTV8_电信,http://59.175.18.180:8888/rtp/239.69.1.125:10388
CCTV8_电信,http://27.18.68.177:9100/rtp/239.69.1.125:10388
CCTV8_电信,http://111.175.60.115:4022/rtp/239.69.1.125:10388
CCTV8_电信,http://111.175.30.86:8888/rtp/239.69.1.125:10388
CCTV8_电信,http://59.174.226.149:8880/rtp/239.69.1.125:10388
CCTV8_电信,http://122.224.232.218:8888/rtp/233.50.201.199:5140
CCTV9_电信,http://59.175.18.180:8888/rtp/239.69.1.104:10262
CCTV9_电信,http://111.175.60.115:4022/rtp/239.69.1.104:10262
CCTV9_电信,http://111.175.30.86:8888/rtp/239.69.1.104:10262
CCTV9_电信,http://119.98.183.124:8000/rtp/239.69.1.104:10262
CCTV9_电信,http://59.174.226.149:8880/rtp/239.69.1.104:10262
CCTV9_电信,http://27.18.68.177:9100/rtp/239.69.1.104:10262
CCTV10_电信,http://59.175.18.180:8888/rtp/239.69.1.105:10268
CCTV10_电信,http://111.175.60.115:4022/rtp/239.69.1.105:10268
CCTV10_电信,http://111.175.30.86:8888/rtp/239.69.1.105:10268
CCTV10_电信,http://27.18.68.177:9100/rtp/239.69.1.105:10268
CCTV10_电信,http://59.174.226.149:8880/rtp/239.69.1.105:10268
CCTV10_电信,http://119.98.183.124:8000/rtp/239.69.1.105:10268
CCTV11_电信,http://111.175.30.86:8888/rtp/239.69.1.154:10560
CCTV11_电信,http://59.175.18.180:8888/rtp/239.69.1.154:10560
CCTV11_电信,http://119.98.183.124:8000/rtp/239.69.1.154:10560
CCTV11_电信,http://111.175.60.115:4022/rtp/239.69.1.154:10560
CCTV11_电信,http://27.18.68.177:9100/rtp/239.69.1.154:10560
CCTV11_电信,http://59.174.226.149:8880/rtp/239.69.1.154:10560
CCTV11_电信,http://122.224.232.218:8888/rtp/233.50.201.11:5140
CCTV12_电信,http://111.175.30.86:8888/rtp/239.69.1.106:10274
CCTV12_电信,http://119.98.183.124:8000/rtp/239.69.1.106:10274
CCTV12_电信,http://59.174.226.149:8880/rtp/239.69.1.106:10274
CCTV12_电信,http://59.175.18.180:8888/rtp/239.69.1.106:10274
CCTV12_电信,http://111.175.60.115:4022/rtp/239.69.1.106:10274
CCTV12_电信,http://27.18.68.177:9100/rtp/239.69.1.106:10274
CCTV13_电信,http://59.175.18.180:8888/rtp/239.254.96.161:9040
CCTV13_电信,http://111.175.60.115:4022/rtp/239.254.96.161:9040
CCTV13_电信,http://119.98.183.124:8000/rtp/239.254.96.161:9040
CCTV13_电信,http://59.174.226.149:8880/rtp/239.254.96.161:9040
CCTV13_电信,http://111.175.30.86:8888/rtp/239.254.96.161:9040
CCTV13_电信,http://27.18.68.177:9100/rtp/239.254.96.161:9040
CCTV13_电信,http://122.224.232.218:8888/rtp/233.50.201.246:5140
CCTV14_电信,http://111.175.30.86:8888/rtp/239.69.1.107:10280
CCTV14_电信,http://111.175.60.115:4022/rtp/239.69.1.107:10280
CCTV14_电信,http://119.98.183.124:8000/rtp/239.69.1.107:10280
CCTV14_电信,http://27.18.68.177:9100/rtp/239.69.1.107:10280
CCTV14_电信,http://59.174.226.149:8880/rtp/239.69.1.107:10280
CCTV14_电信,http://59.175.18.180:8888/rtp/239.69.1.107:10280
CCTV14_电信,http://122.224.232.218:8888/rtp/233.50.201.124:5140
CCTV15_电信,http://111.175.30.86:8888/rtp/239.69.1.155:10566
CCTV15_电信,http://59.175.18.180:8888/rtp/239.69.1.155:10566
CCTV15_电信,http://111.175.60.115:4022/rtp/239.69.1.155:10566
CCTV15_电信,http://119.98.183.124:8000/rtp/239.69.1.155:10566
CCTV15_电信,http://27.18.68.177:9100/rtp/239.69.1.155:10566
CCTV15_电信,http://59.174.226.149:8880/rtp/239.69.1.155:10566
CCTV16_电信,http://59.175.18.180:8888/rtp/239.69.1.247:11124
CCTV16_电信,http://111.175.30.86:8888/rtp/239.69.1.247:11124
CCTV16_电信,http://111.175.60.115:4022/rtp/239.69.1.247:11124
CCTV16_电信,http://119.98.183.124:8000/rtp/239.69.1.247:11124
CCTV16_电信,http://59.174.226.149:8880/rtp/239.69.1.247:11124
CCTV16_电信,http://27.18.68.177:9100/rtp/239.69.1.247:11124
CCTV16_电信,http://122.224.232.218:8888/rtp/233.50.201.192:5140
CCTV17_电信,http://59.175.18.180:8888/rtp/239.69.1.152:10548
CCTV17_电信,http://119.98.183.124:8000/rtp/239.69.1.152:10548
CCTV17_电信,http://111.175.60.115:4022/rtp/239.69.1.152:10548
CCTV17_电信,http://111.175.30.86:8888/rtp/239.69.1.152:10548
CCTV17_电信,http://27.18.68.177:9100/rtp/239.69.1.152:10548
CCTV17_电信,http://59.174.226.149:8880/rtp/239.69.1.152:10548
CCTV164K_电信,http://59.175.18.180:8888/rtp/239.69.1.249:11136
CCTV164K_电信,http://27.18.68.177:9100/rtp/239.69.1.249:11136
CCTV164K_电信,http://119.98.183.124:8000/rtp/239.69.1.249:11136
CCTV164K_电信,http://111.175.60.115:4022/rtp/239.69.1.249:11136
CCTV164K_电信,http://111.175.30.86:8888/rtp/239.69.1.13:9718
CCTV164K_电信,http://59.175.18.180:8888/rtp/239.69.1.13:9718
CCTV164K_电信,http://111.175.30.86:8888/rtp/239.69.1.249:11136
